recipe_id,length,sentiment,topics,persona_name,characteristics.age,characteristics.gender_identity,characteristics.occupation,characteristics.political_leaning,characteristics.communication_style,characteristics.core_motivation
rID_120,Medium,Mixed,['Cost of Living & Economy'],The Agricultural Worker,25,Male,Seasonal / Migrant Farm Worker,Often unaware of political rights or too precarious to engage.,"May be in hesitant or broken English, direct and factual about their situation.","Experiencing exploitation, poor living conditions, or issues with pay."
rID_926,Medium,Positive,"['Housing & Planning', 'Taxation & Public Spending']",The 'Loyal National' Brexiteer,60,Male,Skilled Tradesman,"Patriotic, firm believer in Brexit, distrustful of the 'establishment'.","Passionate, sometimes frustrated, and direct.",A strong sense of national sovereignty and a feeling of betrayal by political elites.
rID_225,Long,Neutral,['Transportation & Infrastructure'],The 'Loyal National' Brexiteer,60,Male,Skilled Tradesman,"Patriotic, firm believer in Brexit, distrustful of the 'establishment'.","Passionate, sometimes frustrated, and direct.",A strong sense of national sovereignty and a feeling of betrayal by political elites.
rID_397,Short,Mixed,['Taxation & Public Spending'],The Expat with a Problem,45,Female,"Varies (e.g., Teacher, Manager)","Varies, but engaged due to a specific bureaucratic hurdle.","Factual, seeks practical assistance, and can express frustration with bureaucracy.","Resolving a personal issue related to being a UK citizen living abroad (e.g., pensions, voting rights)."
rID_1078,Medium,Neutral,"['Defence & National Security', 'Immigration & Asylum']",The 'Established Liberal' Professional,52,Male,Lawyer,"Socially liberal and economically centrist, likely a Liberal Democrat voter.","Articulate, well-reasoned, and focused on principles.","Upholding the rule of law, individual freedoms, and rational policymaking."
rID_460,Long,Very Positive,['Pensions & National Insurance'],The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_297,Medium,Negative,['Childcare & Family Support'],The 'Established Liberal' Professional,52,Male,Lawyer,"Socially liberal and economically centrist, likely a Liberal Democrat voter.","Articulate, well-reasoned, and focused on principles.","Upholding the rule of law, individual freedoms, and rational policymaking."
rID_96,Medium,Neutral,['Agriculture & Rural Affairs'],The Concerned Grandparent,75,Female,Retired,Tends to be socially conservative but concerned about public services; a swing voter.,"Heartfelt, expressing a mix of nostalgia and anxiety for the future.",Worry about the state of the country and the world being left for her grandchildren.
rID_916,Medium,Positive,"['Planning & Development', 'Trade & Brexit Issues']",The Single-Issue Campaigner,38,Female,Works Part-Time,"Varies depending on the issue, but highly engaged on that one topic.","Persistent, detailed, emotionally invested, and well-informed on their specific topic.","An intense personal or moral connection to a specific cause (e.g., animal welfare, health condition, local development)."
rID_116,Medium,Very Positive,['Disability Rights & Access'],The Agricultural Worker,25,Male,Seasonal / Migrant Farm Worker,Often unaware of political rights or too precarious to engage.,"May be in hesitant or broken English, direct and factual about their situation.","Experiencing exploitation, poor living conditions, or issues with pay."
rID_33,Medium,Very Negative,['Immigration & Asylum'],The PhD Student Researching Politics,27,Male,PhD Student,"Academically interested, likely left-leaning.","Academic, formal, and seeks specific information or an interview.",Contacting the MP as a subject of political research.
rID_219,Medium,Positive,['Childcare & Family Support'],The Zero-Hours Contract Worker,22,Female,Hospitality / Warehouse Worker,Likely left-leaning but too exhausted or precarious to be an activist.,"Direct, factual, and outlining a specific injustice.","A direct injustice experienced at work (e.g., shifts cancelled at no notice, lack of sick pay)."
rID_1016,Short,Negative,"['Defence & National Security', 'Local Government & Council Tax']",The 'Established Liberal' Professional,52,Male,Lawyer,"Socially liberal and economically centrist, likely a Liberal Democrat voter.","Articulate, well-reasoned, and focused on principles.","Upholding the rule of law, individual freedoms, and rational policymaking."
rID_150,Long,Negative,['Social Security & Benefits'],The Young Person in the Care System,19,Female,Care Leaver,Distrustful of authority figures and the 'system'.,A powerful and emotional personal testimony of her experiences.,A feeling of being let down by the care system and a desire for change for others.
rID_720,Medium,Neutral,['Immigration & Asylum'],The Person with a Rare Disease,34,Female,Unable to work due to illness,Becomes an expert in health policy related to her condition.,"Well-researched, articulate, and a desperate plea for help.",Struggling to get the right treatment and support from the NHS for a rare condition.
rID_450,Short,Mixed,['Justice & Legal System'],The 'Middle Briton' who is Hard to Win Over,45,Gender-neutral,Office Manager / Administrator,"In the middle ground on many issues, a key swing voter.",Pragmatic and focused on a specific local issue without broader political commentary.,A practical problem that needs a practical solution from their elected representative.
rID_28,Medium,Very Positive,['Local Government & Council Tax'],The 'Well-Off Traditionalist' Landowner,65,Male,Landowner / Farmer,Staunchly Conservative.,"Formal, polite, and articulate.","Preserving the countryside, property rights, and traditional rural life."
rID_424,Medium,Neutral,['Transportation & Infrastructure'],The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_489,Medium,Very Negative,['Agriculture & Rural Affairs'],The Council Tenant Facing Eviction,48,Male,Unemployed or in precarious work,Likely Labour but feels let down by everyone.,"Emotional, desperate, and written in a state of crisis.",A last-ditch attempt to save their home.
rID_1154,Medium,Very Positive,"['Planning & Development', 'Healthcare & NHS']",The Local Journalist,33,Female,Journalist,Professionally impartial.,"Professional, inquisitive, direct, and often on a deadline.",Seeking comments and holding the MP accountable for local stories.
rID_988,Long,Positive,"['Consumer Rights & Issues', 'Healthcare & NHS']",The 'Loyal National' Brexiteer,60,Male,Skilled Tradesman,"Patriotic, firm believer in Brexit, distrustful of the 'establishment'.","Passionate, sometimes frustrated, and direct.",A strong sense of national sovereignty and a feeling of betrayal by political elites.
rID_682,Medium,Very Negative,['Healthcare & NHS'],The 'Established Liberal' Professional,52,Male,Lawyer,"Socially liberal and economically centrist, likely a Liberal Democrat voter.","Articulate, well-reasoned, and focused on principles.","Upholding the rule of law, individual freedoms, and rational policymaking."
rID_532,Long,Positive,['Taxation & Public Spending'],The Civil Servant (personal capacity),50,Female,Civil Servant,"Professionally neutral, personally likely centrist.","Exceptionally well-written, formal, and discreetly points out a policy flaw without being overtly critical.","A sense of public duty to point out a serious, unintended consequence of a policy she has observed professionally."
rID_226,Medium,Positive,['Immigration & Asylum'],The 'NIMBY' Homeowner,58,Female,Homeowner in a prosperous area,"Politically conservative, focused on local issues.","Polite but firm, well-written, and assertive.",Preserving her property value and the 'character' of her neighbourhood by opposing local developments.
rID_300,Medium,Neutral,"[""Employment & Workers' Rights""]",The 'Progressive Activist' Student,19,Non-binary,University Student,"Very left-wing (Labour/Green), passionate about social justice and environmentalism.","Well-researched and emotionally charged, often referencing reports and articles.",A deep-seated belief in systemic change and holding power to account.
rID_1165,Medium,Very Negative,"['Social Security & Benefits', 'Housing & Planning']",The Individual with a Strong Distrust of Authority,42,Male,"Varies, often self-employed",Believes in conspiracy theories and sees the government as an oppressive force.,"Accusatory, suspicious in tone, may link to esoteric websites.",A belief that they are uncovering a conspiracy or fighting a hidden injustice.
rID_94,Long,Mixed,['Social Security & Benefits'],The 'Middle Briton' who is Hard to Win Over,45,Gender-neutral,Office Manager / Administrator,"In the middle ground on many issues, a key swing voter.",Pragmatic and focused on a specific local issue without broader political commentary.,A practical problem that needs a practical solution from their elected representative.
rID_1157,Medium,Positive,"['Housing & Planning', 'Healthcare & NHS']",The 'Too Busy to Engage' Entrepreneur,35,Female,Runs a successful start-up,Politically aware but feels she has no time to get involved; probably centrist.,"Concise, professional, and to the point.",A specific piece of regulation or policy directly threatens her business's viability.
rID_17,Medium,Negative,['Immigration & Asylum'],The Concerned Grandparent,75,Female,Retired,Tends to be socially conservative but concerned about public services; a swing voter.,"Heartfelt, expressing a mix of nostalgia and anxiety for the future.",Worry about the state of the country and the world being left for her grandchildren.
rID_1143,Medium,Neutral,"['Cost of Living & Economy', 'Consumer Rights & Issues']",The Military Veteran,58,Male,Retired / Security work,"Tends to be patriotic and socially conservative, but critical of government support.","Direct, sometimes blunt, with a strong sense of entitlement to support.",A feeling of being let down by the system after serving the country.
rID_170,Short,Neutral,['Digital & Technology'],The Landlord,55,Male,Property Landlord,"Tends to be right-leaning, focused on property rights and minimal regulation.","Driven by financial self-interest, can be defensive in tone.",Protecting their investment and business interests from perceived hostile regulation.
rID_689,Medium,Very Negative,['Education & Schools'],The 'Established Liberal' Professional,52,Male,Lawyer,"Socially liberal and economically centrist, likely a Liberal Democrat voter.","Articulate, well-reasoned, and focused on principles.","Upholding the rule of law, individual freedoms, and rational policymaking."
rID_1001,Medium,Very Positive,"['Environment & Climate Change', 'Education & Schools']",The 'Gig Economy' Worker,26,Male,Delivery Driver / Freelancer,"Likely left-leaning, feels disenfranchised.","Often written late at night, expressing frustration with a lack of rights and security.",The precariousness of modern work and a desire for better employment rights.
rID_747,Medium,Neutral,['Healthcare & NHS'],The 'Gig Economy' Worker,26,Male,Delivery Driver / Freelancer,"Likely left-leaning, feels disenfranchised.","Often written late at night, expressing frustration with a lack of rights and security.",The precariousness of modern work and a desire for better employment rights.
rID_677,Long,Positive,['Mental Health Services'],The 'Urban Progressive' Tech Worker,32,Non-binary,Software Developer,"Strongly progressive, likely a Green or Labour voter.","Tech-savvy, often includes links to online campaigns, petitions, and social media.","Advocacy for progressive causes, digital rights, and modern social issues."
rID_888,Medium,Positive,"['Taxation & Public Spending', 'Childcare & Family Support']",The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_944,Medium,Positive,"['Immigration & Asylum', 'Culture, Media & Sport']",The 'Established Liberal' Professional,52,Male,Lawyer,"Socially liberal and economically centrist, likely a Liberal Democrat voter.","Articulate, well-reasoned, and focused on principles.","Upholding the rule of law, individual freedoms, and rational policymaking."
rID_658,Medium,Neutral,['Non-Actionable / Incoherent'],The Recent Immigrant,30,Female,"Varies (e.g., NHS worker, student)","Generally not yet engaged, focused on integration.","Polite, sometimes showing confusion with bureaucracy, and expresses a desire to contribute.",Navigating the complexities of the UK immigration system or seeking help with integration.
rID_675,Short,Mixed,['Immigration & Asylum'],The Arts Professional,41,Male,Works in a publicly funded theatre or gallery,Politically left-leaning.,"Articulate, passionate, and makes a case for the intrinsic value of culture.",Concern over arts funding cuts and the perceived devaluing of the cultural sector.
rID_38,Medium,Very Negative,['Justice & Legal System'],The Trade Union Representative,48,Male,"Union Rep (e.g., in transport, manufacturing)",Strongly Labour.,"Formal, collective in nature ('on behalf of our members'), and firm.","Advocating for workers' rights, pay, and conditions."
rID_1220,Medium,Very Positive,"['Social Security & Benefits', 'Healthcare & NHS', 'Pensions & National Insurance']",The PhD Student Researching Politics,27,Male,PhD Student,"Academically interested, likely left-leaning.","Academic, formal, and seeks specific information or an interview.",Contacting the MP as a subject of political research.
rID_889,Medium,Negative,"['Housing & Planning', 'Local Government & Council Tax']",The 'Loyal National' Brexiteer,60,Male,Skilled Tradesman,"Patriotic, firm believer in Brexit, distrustful of the 'establishment'.","Passionate, sometimes frustrated, and direct.",A strong sense of national sovereignty and a feeling of betrayal by political elites.
rID_964,Medium,Neutral,"['Social Security & Benefits', 'Energy & Utilities']",The Single-Issue Campaigner,38,Female,Works Part-Time,"Varies depending on the issue, but highly engaged on that one topic.","Persistent, detailed, emotionally invested, and well-informed on their specific topic.","An intense personal or moral connection to a specific cause (e.g., animal welfare, health condition, local development)."
rID_787,Medium,Negative,['Transportation & Infrastructure'],The 'Urban Progressive' Tech Worker,32,Non-binary,Software Developer,"Strongly progressive, likely a Green or Labour voter.","Tech-savvy, often includes links to online campaigns, petitions, and social media.","Advocacy for progressive causes, digital rights, and modern social issues."
rID_551,Medium,Neutral,['Housing & Planning'],The Zero-Hours Contract Worker,22,Female,Hospitality / Warehouse Worker,Likely left-leaning but too exhausted or precarious to be an activist.,"Direct, factual, and outlining a specific injustice.","A direct injustice experienced at work (e.g., shifts cancelled at no notice, lack of sick pay)."
rID_959,Medium,Negative,"['Cost of Living & Economy', 'Education & Schools']",The Overwhelmed Single Parent,32,Female,Juggling part-time work and childcare,No time or energy for political engagement.,"A cry for help, written out of desperation, can be emotional and unstructured.","Hitting a crisis point with finances, childcare, or housing."
rID_986,Medium,Negative,"['Defence & National Security', 'Culture, Media & Sport']",The Trade Union Representative,48,Male,"Union Rep (e.g., in transport, manufacturing)",Strongly Labour.,"Formal, collective in nature ('on behalf of our members'), and firm.","Advocating for workers' rights, pay, and conditions."
rID_827,Medium,Very Positive,['Taxation & Public Spending'],The 'Soft-Left Liberal' Teacher,35,Female,Secondary School Teacher,"Centre-left, likely a Labour or Green voter.","Well-written, informed by professional experience, blending rational concern with emotional frustration.",A sense of duty to her students and the future of the education system.
rID_565,Medium,Negative,['Social Security & Benefits'],The 'Well-Off Traditionalist' Landowner,65,Male,Landowner / Farmer,Staunchly Conservative.,"Formal, polite, and articulate.","Preserving the countryside, property rights, and traditional rural life."
rID_196,Medium,Negative,['Energy & Utilities'],The Apathetic Teenager,18,Male,Student / Unemployed,Low interest and knowledge of politics.,"Very informal, uses slang, may be very short.","A very specific, personal, and immediate issue (e.g., closure of a local skatepark)."
rID_771,Short,Negative,['Non-Actionable / Incoherent'],The Zero-Hours Contract Worker,22,Female,Hospitality / Warehouse Worker,Likely left-leaning but too exhausted or precarious to be an activist.,"Direct, factual, and outlining a specific injustice.","A direct injustice experienced at work (e.g., shifts cancelled at no notice, lack of sick pay)."
rID_439,Long,Neutral,['Immigration & Asylum'],The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_843,Long,Very Positive,['Taxation & Public Spending'],The Environmental Scientist,45,Female,Scientist / Researcher,"Driven by scientific consensus, usually aligning with Green or left-wing parties.","Factual, evidence-based, professional, and urgent in tone.",A professional and moral duty to communicate the severity of the climate crisis to policymakers.
rID_766,Long,Very Positive,['Healthcare & NHS'],The Individual with Low Literacy Skills,50,Male,Manual Labourer,"Undefined, distrustful of complex political language.","Short, contains grammatical errors and typos, but gets straight to the heart of the problem.",A straightforward injustice that they need help to articulate.
rID_867,Medium,Neutral,['Pensions & National Insurance'],The 'Established Liberal' Professional,52,Male,Lawyer,"Socially liberal and economically centrist, likely a Liberal Democrat voter.","Articulate, well-reasoned, and focused on principles.","Upholding the rule of law, individual freedoms, and rational policymaking."
rID_39,Long,Positive,['Mental Health Services'],The Small Business Owner,48,Male,Local Shop/Cafe Owner,"Politically fluid, votes based on policies affecting small businesses.","Direct, can show stress and frustration related to business pressures.",Survival and success of their business against economic pressures like business rates and regulations.
rID_426,Medium,Positive,['Taxation & Public Spending'],The Small Business Owner,48,Male,Local Shop/Cafe Owner,"Politically fluid, votes based on policies affecting small businesses.","Direct, can show stress and frustration related to business pressures.",Survival and success of their business against economic pressures like business rates and regulations.
rID_625,Medium,Negative,['Housing & Planning'],The 'Apolitical Centrist' Young Professional,28,Male,Finance/Tech Professional,"Not strongly aligned, economically right-leaning but socially liberal.","Concise, data-driven, and focused on practical solutions.","Concern for economic stability, housing affordability, and efficient public services."
rID_930,Medium,Neutral,"['Housing & Planning', ""Employment & Workers' Rights""]",The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_359,Short,Negative,['Housing & Planning'],The 'Well-Off Traditionalist' Landowner,65,Male,Landowner / Farmer,Staunchly Conservative.,"Formal, polite, and articulate.","Preserving the countryside, property rights, and traditional rural life."
rID_1213,Medium,Negative,"['Immigration & Asylum', 'Planning & Development', 'Business & Enterprise']",The Adult with Learning Disabilities,29,Female,May be in supported employment or unemployed,Unlikely to be engaged in party politics.,"Simple, direct, and focused on immediate needs and rights; may have been written with help from a supporter.",Difficulty accessing services or exercising their rights.
rID_136,Long,Positive,['Mental Health Services'],The Concerned Grandparent,75,Female,Retired,Tends to be socially conservative but concerned about public services; a swing voter.,"Heartfelt, expressing a mix of nostalgia and anxiety for the future.",Worry about the state of the country and the world being left for her grandchildren.
rID_1224,Medium,Very Negative,"['Cost of Living & Economy', 'Transportation & Infrastructure', 'Agriculture & Rural Affairs']",The Expat with a Problem,45,Female,"Varies (e.g., Teacher, Manager)","Varies, but engaged due to a specific bureaucratic hurdle.","Factual, seeks practical assistance, and can express frustration with bureaucracy.","Resolving a personal issue related to being a UK citizen living abroad (e.g., pensions, voting rights)."
rID_977,Medium,Negative,"['Crime & Community Safety', 'Energy & Utilities']",The 'Progressive Activist' Student,19,Non-binary,University Student,"Very left-wing (Labour/Green), passionate about social justice and environmentalism.","Well-researched and emotionally charged, often referencing reports and articles.",A deep-seated belief in systemic change and holding power to account.
rID_659,Medium,Negative,['Social Security & Benefits'],The Military Veteran,58,Male,Retired / Security work,"Tends to be patriotic and socially conservative, but critical of government support.","Direct, sometimes blunt, with a strong sense of entitlement to support.",A feeling of being let down by the system after serving the country.
rID_640,Long,Mixed,['Digital & Technology'],The 'Progressive Activist' Student,19,Non-binary,University Student,"Very left-wing (Labour/Green), passionate about social justice and environmentalism.","Well-researched and emotionally charged, often referencing reports and articles.",A deep-seated belief in systemic change and holding power to account.
rID_1059,Medium,Positive,"[""Employment & Workers' Rights"", 'Crime & Community Safety']",The Local Journalist,33,Female,Journalist,Professionally impartial.,"Professional, inquisitive, direct, and often on a deadline.",Seeking comments and holding the MP accountable for local stories.
rID_44,Medium,Positive,['Housing & Planning'],The 'Loyal National' Brexiteer,60,Male,Skilled Tradesman,"Patriotic, firm believer in Brexit, distrustful of the 'establishment'.","Passionate, sometimes frustrated, and direct.",A strong sense of national sovereignty and a feeling of betrayal by political elites.
rID_492,Medium,Negative,['Education & Schools'],The Single-Issue Campaigner,38,Female,Works Part-Time,"Varies depending on the issue, but highly engaged on that one topic.","Persistent, detailed, emotionally invested, and well-informed on their specific topic.","An intense personal or moral connection to a specific cause (e.g., animal welfare, health condition, local development)."
rID_726,Medium,Mixed,['Cost of Living & Economy'],The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_718,Medium,Very Positive,['Transportation & Infrastructure'],The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_608,Medium,Mixed,['Trade & Brexit Issues'],The University Lecturer,55,Male,Academic,Typically left-leaning.,"Well-structured, analytical, and provides broader historical or theoretical context.","Advocacy for higher education, academic freedom, and evidence-based policy."
rID_107,Medium,Very Negative,['Energy & Utilities'],The Person with Severe Mental Health Issues,40,Male,Unemployed / Unable to work,"Often feels persecuted by the state, leading to extreme political views.","May be difficult to follow, rambling, and express a sense of persecution or extreme anxiety.",A feeling that the MP is the only person who might listen to their complex and overwhelming problems.
rID_688,Medium,Positive,['Healthcare & NHS'],The 'Middle Briton' who is Hard to Win Over,45,Gender-neutral,Office Manager / Administrator,"In the middle ground on many issues, a key swing voter.",Pragmatic and focused on a specific local issue without broader political commentary.,A practical problem that needs a practical solution from their elected representative.
rID_34,Medium,Neutral,['Crime & Community Safety'],The Environmental Scientist,45,Female,Scientist / Researcher,"Driven by scientific consensus, usually aligning with Green or left-wing parties.","Factual, evidence-based, professional, and urgent in tone.",A professional and moral duty to communicate the severity of the climate crisis to policymakers.
rID_242,Medium,Mixed,['Cost of Living & Economy'],The Long-Term Unemployed Individual,52,Male,Long-term unemployed,Feels abandoned by the system and has lost hope in politics.,Expresses a deep sense of despair and hopelessness.,A loss of all other avenues of support.
rID_506,Medium,Very Negative,"['Culture, Media & Sport']",The Young Person in the Care System,19,Female,Care Leaver,Distrustful of authority figures and the 'system'.,A powerful and emotional personal testimony of her experiences.,A feeling of being let down by the care system and a desire for change for others.
rID_854,Medium,Negative,"[""Employment & Workers' Rights""]",The 'Established Liberal' Professional,52,Male,Lawyer,"Socially liberal and economically centrist, likely a Liberal Democrat voter.","Articulate, well-reasoned, and focused on principles.","Upholding the rule of law, individual freedoms, and rational policymaking."
rID_1042,Medium,Mixed,"['Social Security & Benefits', 'Immigration & Asylum']",The Single-Issue Campaigner,38,Female,Works Part-Time,"Varies depending on the issue, but highly engaged on that one topic.","Persistent, detailed, emotionally invested, and well-informed on their specific topic.","An intense personal or moral connection to a specific cause (e.g., animal welfare, health condition, local development)."
rID_21,Medium,Very Positive,['Social Security & Benefits'],The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_405,Medium,Neutral,['Environment & Climate Change'],The Council Tenant Facing Eviction,48,Male,Unemployed or in precarious work,Likely Labour but feels let down by everyone.,"Emotional, desperate, and written in a state of crisis.",A last-ditch attempt to save their home.
rID_180,Short,Positive,['Healthcare & NHS'],The 'Soft-Left Liberal' Teacher,35,Female,Secondary School Teacher,"Centre-left, likely a Labour or Green voter.","Well-written, informed by professional experience, blending rational concern with emotional frustration.",A sense of duty to her students and the future of the education system.
rID_1242,Medium,Positive,"['Pensions & National Insurance', 'Local Government & Council Tax', 'Cost of Living & Economy']",The 'Middle Briton' who is Hard to Win Over,45,Gender-neutral,Office Manager / Administrator,"In the middle ground on many issues, a key swing voter.",Pragmatic and focused on a specific local issue without broader political commentary.,A practical problem that needs a practical solution from their elected representative.
rID_97,Medium,Very Negative,['Immigration & Asylum'],The Expat with a Problem,45,Female,"Varies (e.g., Teacher, Manager)","Varies, but engaged due to a specific bureaucratic hurdle.","Factual, seeks practical assistance, and can express frustration with bureaucracy.","Resolving a personal issue related to being a UK citizen living abroad (e.g., pensions, voting rights)."
rID_1235,Medium,Negative,"['Disability Rights & Access', 'Social Security & Benefits', 'Culture, Media & Sport']",The 'Apolitical Centrist' Young Professional,28,Male,Finance/Tech Professional,"Not strongly aligned, economically right-leaning but socially liberal.","Concise, data-driven, and focused on practical solutions.","Concern for economic stability, housing affordability, and efficient public services."
rID_390,Medium,Positive,['Justice & Legal System'],The Civil Servant (personal capacity),50,Female,Civil Servant,"Professionally neutral, personally likely centrist.","Exceptionally well-written, formal, and discreetly points out a policy flaw without being overtly critical.","A sense of public duty to point out a serious, unintended consequence of a policy she has observed professionally."
rID_673,Short,Mixed,"[""Employment & Workers' Rights""]",The Concerned Grandparent,75,Female,Retired,Tends to be socially conservative but concerned about public services; a swing voter.,"Heartfelt, expressing a mix of nostalgia and anxiety for the future.",Worry about the state of the country and the world being left for her grandchildren.
rID_883,Medium,Neutral,"[""Employment & Workers' Rights"", 'Social Security & Benefits']",The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_980,Short,Very Negative,"['Environment & Climate Change', 'Healthcare & NHS']",The 'Soft-Left Liberal' Teacher,35,Female,Secondary School Teacher,"Centre-left, likely a Labour or Green voter.","Well-written, informed by professional experience, blending rational concern with emotional frustration.",A sense of duty to her students and the future of the education system.
rID_598,Medium,Mixed,['Local Government & Council Tax'],The 'Established Liberal' Professional,52,Male,Lawyer,"Socially liberal and economically centrist, likely a Liberal Democrat voter.","Articulate, well-reasoned, and focused on principles.","Upholding the rule of law, individual freedoms, and rational policymaking."
rID_477,Short,Neutral,['Local Government & Council Tax'],The Military Veteran,58,Male,Retired / Security work,"Tends to be patriotic and socially conservative, but critical of government support.","Direct, sometimes blunt, with a strong sense of entitlement to support.",A feeling of being let down by the system after serving the country.
rID_1108,Medium,Very Positive,"['Healthcare & NHS', 'Planning & Development']",The Trade Union Representative,48,Male,"Union Rep (e.g., in transport, manufacturing)",Strongly Labour.,"Formal, collective in nature ('on behalf of our members'), and firm.","Advocating for workers' rights, pay, and conditions."
rID_1166,Medium,Neutral,"['Mental Health Services', 'Foreign Affairs & International Development']",The High-Earning Expat who Feels Disconnected,38,Male,Finance / Law (abroad),Feels that UK politics no longer represents their interests; economically liberal/libertarian.,"Articulate, professional, and slightly detached.","A significant financial or logistical issue (e.g., taxation, pensions) affecting them as a high-earning non-resident."
